slug,country,ymyl,professionalReviewer,editorialState,decision
"calculadora-dosis-medicamento-mascota-por-peso","AR","HIGH","","draft","DRAFT"
"calculadora-edad-cachorro-humano","AR","MODERATE","","automated_tested","KEEP"
"calculadora-edad-humana-conejo-anos","AR","MODERATE","","automated_tested","KEEP"
"calculadora-edad-corregida-prematuro","AR","HIGH","","draft","DRAFT"
"calculadora-edad-gato-humano-formula-anos","AR","MODERATE","","automated_tested","KEEP"
"calculadora-edad-gato-anos-humanos","AR","MODERATE","","automated_tested","KEEP"
"calculadora-edad-gestacional-corregida-prematuro","AR","HIGH","","draft","MERGE_301"
"calculadora-edad-ingreso-escolar-primaria-jardin","AR","MODERATE","","automated_tested","KEEP"
"calculadora-edad-metabolica","AR","MODERATE","","automated_tested","KEEP"
"calculadora-edad-perro-humano-raza-tamano","AR","MODERATE","","draft","MERGE_301"
"calculadora-edad-perro-humano","AR","MODERATE","","draft","MERGE_301"
"calculadora-edad-perro-anos-humanos","AR","MODERATE","","automated_tested","KEEP"
"calculadora-embarazada-aumento-peso-semana-imc-previo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-embarazo-gemelar","AR","MODERATE","","automated_tested","KEEP"
"calculadora-embarazo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-embargo-sueldo-porcentaje-maximo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-envejecer-mascota-humano-tabla-raza-tamano","AR","MODERATE","","automated_tested","KEEP"
"calculadora-esperanza-vida-gato-raza-indoor","AR","MODERATE","","automated_tested","KEEP"
"calculadora-estatura-adulta-hijo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-expensas-departamento-calcular-m2-categoria","AR","MODERATE","","draft","MERGE_301"
"calculadora-exposicion-sol-vitamina-d","AR","HIGH","","draft","DRAFT"
"calculadora-factura-electronica-afip-primera-vez","AR","MODERATE","","automated_tested","KEEP"
"calculadora-facturacion-maxima-monotributo-vs-ri","AR","MODERATE","","automated_tested","KEEP"
"calculadora-fecha-celo-perra","AR","MODERATE","","automated_tested","KEEP"
"calculadora-fecha-probable-concepcion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-fecha-probable-parto","AR","MODERATE","","automated_tested","KEEP"
"calculadora-fertilidad-masculina-edad","AR","HIGH","","draft","DRAFT"
"calculadora-fibra-dietetica-recomendada-diaria-edad","AR","MODERATE","","automated_tested","KEEP"
"calculadora-fideicomiso-construccion-aporte-cuotas","AR","MODERATE","","automated_tested","KEEP"
"calculadora-finiquito-liquidacion-mexico-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-fondo-desempleo-anses-monto-tiempo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-fondo-emergencia-meses-gastos-cuanto","AR","MODERATE","","automated_tested","KEEP"
"calculadora-formula-infantil-biberon-edad-ml-dia","AR","HIGH","","draft","DRAFT"
"calculadora-frecuencia-bano-perro-raza-tipo-pelo","AR","MODERATE","","draft","MERGE_301"
"calculadora-fc-maxima-zonas-karvonen","AR","MODERATE","","automated_tested","KEEP"
"calculadora-frecuencia-cardiaca-maxima-edad","AR","MODERATE","","draft","MERGE_301"
"calculadora-frecuencia-cardiaca-zonas-entrenamiento","AR","MODERATE","","automated_tested","KEEP"
"calculadora-frecuencia-corte-unas-perro-gato","AR","MODERATE","","automated_tested","KEEP"
"calculadora-frecuencia-entrenamiento-grupo-muscular","AR","MODERATE","","automated_tested","KEEP"
"calculadora-freelance-tarifa-hora","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ganancia-perdida-criptomonedas","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ganancias-aguinaldo-sac-retencion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ganancias-empleados-4ta-categoria-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-retencion-ganancias-rg-830","AR","MODERATE","","automated_tested","KEEP"
"calculadora-impuesto-ganancias-sueldo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ganancias-tramos-empleado-mensual-2026","AR","MODERATE","","draft","MERGE_301"
"calculadora-gastos-escritura-compra-inmueble","AR","MODERATE","","automated_tested","KEEP"
"calculadora-gastos-escritura-compraventa","AR","MODERATE","","draft","MERGE_301"
"calculadora-gastos-escriturar-vivienda-primera-casa","AR","MODERATE","","draft","MERGE_301"
"calculadora-gel-energetico-carrera-cuantos","AR","MODERATE","","automated_tested","KEEP"
"calculadora-gestacion-perro-gato-duracion-parto","AR","MODERATE","","automated_tested","KEEP"
"calculadora-gestacion-perra","AR","MODERATE","","automated_tested","KEEP"
"calculadora-grasa-corporal-pliegues","AR","MODERATE","","automated_tested","KEEP"
"calculadora-porcentaje-grasa-corporal","AR","MODERATE","","automated_tested","KEEP"
"calculadora-grasa-subcutanea-visceral-total-diferencia","AR","MODERATE","","draft","MERGE_301"
