query,url,country,device,date_range,clicks,impressions,ctr,average_position,sessions,engaged_sessions,source_file
,https://hacecuentas.com/llave-mundial-2026,AR,,28d-to-2026-07-02,29,439,0.0661,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-cuando-son-las-proximas-elecciones-por-pais,AR,,28d-to-2026-07-02,11,422,0.0261,6,11,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-depreciacion-activos-linea-recta,AR,,28d-to-2026-07-02,8,400,0.02,5.7925,3,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/argentina/buenos-aires/calculadora-impuesto-sellos-inmueble-contrato,AR,,28d-to-2026-07-02,17,374,0.0455,5.9733,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/cl/calculadora-impuesto-renta-segunda-categoria-chile-2026-tabla,CL,,28d-to-2026-07-02,2,366,0.0055,8,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-conversion-tna-tem-tea,AR,,28d-to-2026-07-02,42,355,0.1183,3.2507,4,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/precio-nafta-hoy,AR,,28d-to-2026-07-02,11,345,0.0319,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-cuota-prestamo,AR,,28d-to-2026-07-02,18,344,0.0523,5.8953,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-liquidacion-empleada-domestica-por-dias-colombia-2026,CO,,28d-to-2026-07-02,32,341,0.0938,5,48,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-watts-fuente-alimentacion-pc,AR,,28d-to-2026-07-02,10,339,0.0295,6.5398,6,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/cl/calculadora-impuesto-herencias-donaciones-chile-tabla,CL,,28d-to-2026-07-02,31,323,0.096,5.3344,10,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/pe/calculadora-soat-peru-precio,PE,,28d-to-2026-07-02,23,307,0.0749,4,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/dias-entre-dos-fechas,AR,,28d-to-2026-07-02,0,303,0,8,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-capacidad-tanque-cisterna-litros,AR,,28d-to-2026-07-02,8,302,0.0265,5.6722,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-canasta-basica-mexico-costo-mensual-familia,MX,,28d-to-2026-07-02,22,302,0.0728,4.8709,8,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/tabla/tabla-imc-peso-altura,AR,,28d-to-2026-07-02,2,302,0.0066,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-conversion-uvt-uvr-colombia-actualizacion-2026,CO,,28d-to-2026-07-02,3,298,0.0101,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-pension-imss-modalidad-40-mexico-aportacion,MX,,28d-to-2026-07-02,19,287,0.0662,8,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-palabras-por-pagina-trabajo,AR,,28d-to-2026-07-02,5,286,0.0175,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/cl/calculadora-tarifa-electrica-distribuidoras-chile-bt1-bt2-bt3,CL,,28d-to-2026-07-02,21,284,0.0739,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-uma-conversion-mexico,MX,,28d-to-2026-07-02,2,281,0.0071,8,3,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mundial-2026,AR,,28d-to-2026-07-02,9,281,0.032,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-fecha-probable-parto-ecografia,AR,,28d-to-2026-07-02,0,275,0,6.7236,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-porciones-torta-tamano-molde,AR,,28d-to-2026-07-02,18,271,0.0664,4.2952,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-correccion-calcio-albumina,AR,,28d-to-2026-07-02,0,270,0,7.8889,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/es/calculadora-becas-mec-2026-espana-renta-familiar-rendimiento,ES,,28d-to-2026-07-02,5,269,0.0186,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/iibb,AR,,28d-to-2026-07-02,8,259,0.0309,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-sueldo-por-hora,AR,,28d-to-2026-07-02,38,258,0.1473,3,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/cl/calculadora-asignacion-familiar-chile-2026-tramos-renta,CL,,28d-to-2026-07-02,8,252,0.0317,5.4802,8,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-liquidacion-final-renuncia,AR,,28d-to-2026-07-02,23,247,0.0931,5.502,13,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/comparador-plazo-fijo,AR,,28d-to-2026-07-02,5,244,0.0205,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-salario-minimo-colombia-2026-auxilio-transporte,CO,,28d-to-2026-07-02,7,235,0.0298,6,11,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/salario-minimo-vital-movil-argentina,AR,,28d-to-2026-07-02,1,234,0.0043,7.3761,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-love-calculator,AR,,28d-to-2026-07-02,7,234,0.0299,8.9017,1,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-stream-bitrate-calidad,AR,,28d-to-2026-07-02,9,230,0.0391,4.7391,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/ec/calculadora-credito-hipotecario-biess-ecuador,EC,,28d-to-2026-07-02,6,221,0.0271,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/es/calculadora-renta-vitalicia-mayores-65-espana-fiscalidad,ES,,28d-to-2026-07-02,31,219,0.1416,5.1918,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-tarjeta-credito-interes-cat-mexico,MX,,28d-to-2026-07-02,6,209,0.0287,4.8612,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-impuesto-timbre-nacional-colombia-2026,CO,,28d-to-2026-07-02,34,209,0.1627,3,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-sancion-correccion-declaracion-dian-colombia-2026,CO,,28d-to-2026-07-02,6,206,0.0291,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-pension-issste-decimo-transitorio-mexico-2026,MX,,28d-to-2026-07-02,14,205,0.0683,7,19,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-frecuencia-respiratoria-normal,AR,,28d-to-2026-07-02,0,201,0,6.8159,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-retefuente-colombia-2026-empleado-tabla,CO,,28d-to-2026-07-02,3,196,0.0153,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-comparendos-transito-colombia-2026,CO,,28d-to-2026-07-02,12,195,0.0615,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/es/calculadora-impuesto-matriculacion-iedmt-coche-espana,ES,,28d-to-2026-07-02,9,189,0.0476,6.3175,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-riesgo-caida-adulto-mayor-escala,AR,,28d-to-2026-07-02,1,183,0.0055,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-horario-llegada-zona-horaria,AR,,28d-to-2026-07-02,23,182,0.1264,3.4725,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-cupos-copa-libertadores-pais-conmebol,AR,,28d-to-2026-07-02,4,179,0.0223,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/iibb/santa-fe,AR,,28d-to-2026-07-02,21,179,0.1173,4.4693,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-biodegradacion-tiempo-materiales,AR,,28d-to-2026-07-02,9,177,0.0508,5,5,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-costo-supermercado-canasta-basica,AR,,28d-to-2026-07-02,9,175,0.0514,6,4,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/es/calculadora-tasa-basura-municipios-espana-anual,ES,,28d-to-2026-07-02,20,174,0.1149,3.8563,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-edad-exacta,AR,,28d-to-2026-07-02,0,174,0,6.5517,2,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-memoria-fotos-capacidad,AR,,28d-to-2026-07-02,11,171,0.0643,3.5556,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-consumo-nafta-litros-100km,AR,,28d-to-2026-07-02,19,163,0.1166,3.0982,7,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-vacaciones-colombia-15-dias-habiles-laborales,CO,,28d-to-2026-07-02,8,151,0.053,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/do/calculadora-itbis-republica-dominicana,DO,,28d-to-2026-07-02,11,148,0.0743,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-obligado-declarar-renta-2026,CO,,28d-to-2026-07-02,4,146,0.0274,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-ripte-actualizacion-jubilatoria-sueldo,AR,,28d-to-2026-07-02,6,144,0.0417,6,4,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/ec/calculadora-licencia-maternidad-ecuador,EC,,28d-to-2026-07-02,14,142,0.0986,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/blog/recategorizacion-monotributo-julio-2026-guia-completa,AR,,28d-to-2026-07-02,20,138,0.1449,3.3333,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-tasa-interes-mora-colombia-tarjeta-credito-2026,CO,,28d-to-2026-07-02,11,137,0.0803,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-valuacion-fiscal-automotor-buenos-aires,AR,,28d-to-2026-07-02,0,135,0,7.2,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-aguinaldo-mexico-2026,AR,,28d-to-2026-07-02,0,126,0,8,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-dias-vacaciones-ley,AR,,28d-to-2026-07-02,2,125,0.016,6.64,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/ec/calculadora-impuesto-herencias-legados-donaciones-ecuador,EC,,28d-to-2026-07-02,13,123,0.1057,4.3415,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/ec/calculadora-vacaciones-ecuador,EC,,28d-to-2026-07-02,9,122,0.0738,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-pension-colombia-2026-edad-semanas-cotizadas,CO,,28d-to-2026-07-02,8,121,0.0661,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-valuacion-fiscal-automotor-argentina,AR,,28d-to-2026-07-02,2,118,0.0169,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-mundial-2026-predictor-campeon-ranking,AR,,28d-to-2026-07-02,7,114,0.0614,6.7719,7,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-notacion-cientifica,AR,,28d-to-2026-07-02,1,110,0.0091,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-porcentajes,AR,,28d-to-2026-07-02,0,110,0,8,3,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/es/calculadora-evau-nota-media-ponderaciones-grado-espana,ES,,28d-to-2026-07-02,2,106,0.0189,8,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-bienes-personales-2026,AR,,28d-to-2026-07-02,8,105,0.0762,4.219,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-corte-optimo-tablero,AR,,28d-to-2026-07-02,15,104,0.1442,4.5962,3,,data/bing-perf-latest.json (pages)
